,sen,sendel,oricat,verbs,storyid,sentencenum
189,Kia realized she'd left her lights on the previous night.,Kia realized she 'd <VERB> her lights on the previous night . ,equal,leave ,2eb793f3-88a4-4182-ab07-8bf88b376737,4
190,I found a chore chart.,I <VERB> a chore chart . ,equal,find ,ede54c3f-3aa0-4538-8f34-15c505bf0173,3
191,Finally a big envelope came in the mail!,Finally a big envelope <VERB> in the mail ! ,pos,come ,ddd0e1fb-29e4-4925-b226-ff80952c00a2,5
192,One artist Todd worked with didn't like his skills.,One artist Todd worked with <VERB> n't like his skills . ,pos,do ,dbb15361-e210-4ff8-8081-9be2de334527,3
193,It stole the kite never to be seen again.,It stole the kite never to be <VERB> again . ,neg,see ,8043498b-e34b-46af-8da2-b2c3208499e8,5
194,The car needed an oil change.,The car <VERB> an oil change . ,neg,need ,5cc8050e-c4e9-4d8c-98c4-19f5d28596e1,3
195,He feels a lot of pressure to be skinny.,He <VERB> a lot of pressure to be skinny . ,equal,feel ,92b7ed29-a628-4861-b695-15bfbd6d65d1,2
196,But then Emma saved up enough to fix the muffler.,But then Emma saved up enough to <VERB> the muffler . ,pos,fix ,3e9e54e4-8705-40ea-a9f5-3bf04b5a422d,4
197,She agreed and Jake was extremely happy.,She <VERB> and Jake was extremely happy . ,equal,agree ,6f87410b-00fb-4d78-bfef-6e07264aec7b,5
198,I needed a new blade.,I <VERB> a new blade . ,neg,need ,d4bb857b-03c9-427c-a48e-885bbfb1975d,4
199,Ivan looked online for answers.,Ivan <VERB> online for answers . ,equal,look ,7cfa344f-a626-4280-b5ad-ad1a0fb4fd69,3
200,Opal had underestimated her brother.,Opal had <VERB> her brother . ,equal,underestimate ,a9074b23-b771-4fd5-9fe5-d1147a1b58b4,5
201,Jen was happy to impress her class with the painting.,Jen was happy to <VERB> her class with the painting . ,neg,impress ,6b54ae3e-0343-45d8-8124-45130f531ec1,5
202,America was still reeling from Japan's surprise attack.,America was still <VERB> from Japan 's surprise attack . ,neg,reel ,16fbf1a7-9478-4ba4-8bbf-0176b41ad7bb,1
203,There was one puppy that remained in his cage looking forlorn.,There was one puppy that remained in his cage <VERB> forlorn . ,equal,look ,76cd1d74-2d75-4f36-8295-6a5dbf0f220e,3
204,"When she graduated college, she wanted to experience new cultures.","When she graduated college , she wanted to <VERB> new cultures . ",neg,experience ,b0a5fcf0-3fed-4425-b05d-5c1d5a09b919,2
205,She walked along the frozen creek calling the dog's name.,She walked along the frozen creek <VERB> the dog 's name . ,pos,call ,3ac8b528-11de-4abc-828c-f981c590282b,2
206,He wanted to relax.,He wanted to <VERB> . ,neg,relax ,dfbe7d33-bbca-44d2-a6dc-abcf345eea4c,2
207,He wanted to relax.,He wanted to <VERB> . ,neg,relax ,9737d81e-cfca-47f9-95eb-7e09a44b3b56,2
208,He had to turn around and drive all the way back.,He had to turn around and <VERB> all the way back . ,pos,drive ,0317b57e-8ce4-44fc-b0f5-be424c3be5cb,5
209,I sat in my chair and relaxed.,I <VERB> in my chair and relaxed . ,neg,sit ,766705b6-bd36-4627-aca0-758ea3ea898c,5
210,I noticed the desk was extremely dirty.,I <VERB> the desk was extremely dirty . ,equal,notice ,38944a8a-cbe4-436b-b515-b15d7735a285,2
211,All winter she waited for it to snow.,All winter she <VERB> for it to snow . ,neg,wait ,98c2064b-b22d-4982-9b38-615045fa1fba,3
212,She found a beautiful pair of earrings.,She <VERB> a beautiful pair of earrings . ,equal,find ,25c5bb24-75b3-42ad-bb8d-6f6423ed8440,2
213,I ran out of the apartment straight to the store.,I <VERB> out of the apartment straight to the store . ,pos,run ,045d0658-abd0-46bf-8496-d913640a7c48,3
214,She heard a rustling in a bush.,She <VERB> a rustling in a bush . ,neg,hear ,4094fb8b-2de1-4e1a-bc4b-069d6b80734c,2
215,"Reluctantly, Laura agreed.","Reluctantly , Laura <VERB> . ",equal,agree ,2e2290a0-7e9b-4be8-a90e-7b609ac1cd02,4
216,Gina later found out they had a small electrical fire at the store.,Gina later <VERB> out they had a small electrical fire at the store . ,equal,find ,73ac364b-af6c-451d-b1a4-7b2aeee312fa,5
217,The teacher found out what Tom was into.,The teacher <VERB> out what Tom was into . ,equal,find ,02f9e2ca-05e9-45fa-9550-d3d9cc361654,3
218,Jack made a cheese sandwich.,Jack <VERB> a cheese sandwich . ,pos,make ,e9344f33-ea1d-4af6-87be-ac7b6a779efd,3
219,Lem wanted a dog with an excellent pedigree.,Lem <VERB> a dog with an excellent pedigree . ,neg,want ,3dde179b-7d54-4cec-8289-a58d16d9b877,1
220,Kimmi was fifteen and needed a bra.,Kimmi was fifteen and <VERB> a bra . ,neg,need ,3d73b70e-b2cd-4d63-80c0-9202905265ae,1
221,Emma needed a taxi from her hotel.,Emma <VERB> a taxi from her hotel . ,neg,need ,61b33e52-8e94-4b03-b4e4-4d6b34b831cd,1
222,"Knowing this, the bus driver still wanted me to get out.","<VERB> this , the bus driver still wanted me to get out . ",neg,know ,cd2f7a90-d38a-4bc9-b6b3-f4febd8aa16c,3
223,With the simpler dinners I have lost thirty pounds.,With the simpler dinners I have <VERB> thirty pounds . ,equal,lose ,e589d3c3-0a17-416b-bc24-cedb3b12408a,5
224,She got to work on it immediately.,She <VERB> to work on it immediately . ,pos,get ,47c051d6-f7af-4700-ad9f-2c87b0c18045,3
225,The house looked beautiful!,The house <VERB> beautiful ! ,equal,look ,ea6d91b2-6b19-4666-8f9c-ef771f154326,4
226,The cat chased the mouse.,The cat <VERB> the mouse . ,pos,chase ,aaff2a48-c1e3-4a79-bc09-92da88423fcf,1
227,None of them worked.,None of them <VERB> . ,pos,work ,5458d81b-dcd5-4196-b747-2a6603e72320,3
228,He joined an adult basketball league,He <VERB> an adult basketball league ,pos,join ,2b6a584a-d993-45ea-adfc-db769c5e6d32,3
229,I eventually came across the fact that it was my hard drive.,I eventually <VERB> across the fact that it was my hard drive . ,pos,come ,6552c318-99fe-41a1-b1be-4d187cb57c97,4
230,It was the best pizza Fred had ever eaten!,It was the best pizza Fred had ever <VERB> ! ,pos,eat ,42c7691e-0f72-4157-abc1-4cd2c28edd71,5
231,Laura went to the department store.,Laura <VERB> to the department store . ,equal,go ,04b8acc0-95a8-4946-ade4-9fcd753acae9,1
232,They had to leave the area.,They had to <VERB> the area . ,equal,leave ,dac30fc8-ea68-4466-8c61-feccf3dc775a,5
233,"She laid in bed, wide awake.","She <VERB> in bed , wide awake . ",pos,lay ,992d0243-c97e-4c34-b88b-d18d154d951a,1
234,"It's a funny story how I met rapper 50 Cent, before he was famous.","It 's a funny story how I <VERB> rapper 50 Cent , before he was famous . ",pos,meet ,a9cd500f-1135-4808-938f-93e155ab5ea4,1
235,He was worried he may need a shot.,He was worried he may <VERB> a shot . ,neg,need ,148ae694-dd11-4d35-889b-0da05a26468f,2
236,So she had forgotten about it.,So she had <VERB> about it . ,neg,forget ,c612257e-74bb-4da8-9280-a18e506f9cb3,3
237,"She looked up, seeing a nest a few feet above the ground.","She <VERB> up , seeing a nest a few feet above the ground . ",equal,look ,5ce5d4a4-edd5-4b00-8032-7b4dcfb8b628,2
238,Maria had a dream of opening a business.,Maria had a dream of <VERB> a business . ,pos,open ,b50f919b-b9f2-411e-8e8c-ba8fe6cac4f1,1
239,"He saw a few great ones, but still waited.","He <VERB> a few great ones , but still waited . ",neg,see ,e2509de3-3e4e-4451-a68c-8617942a0b1f,3
240,Maurice went skydiving with some buddies.,Maurice <VERB> skydiving with some buddies . ,equal,go ,eeafcf12-4829-406a-b126-fb09945e3837,1
241,She got over him.,She <VERB> over him . ,pos,get ,856c2472-59c6-4cc9-8e6a-442bc34a6138,5
242,I regretted my decision when a job I really wanted was temporary.,I <VERB> my decision when a job I really wanted was temporary . ,neg,regret ,f0d3ad93-932e-40c5-aba1-a5489bfae00f,3
243,I left in September to go back to school.,I left in September to <VERB> back to school . ,equal,go ,49127691-6e3b-46ec-9b48-6139e66bd5dd,5
244,Samantha was driving home from work when she heard a loud pop.,Samantha was <VERB> home from work when she heard a loud pop . ,pos,drive ,d4ae8a4f-b9b9-4697-bf28-bac90a34bca2,1
245,Sabrina was going to an office downtown.,Sabrina was <VERB> to an office downtown . ,equal,go ,38b7169c-2e2d-43e7-93a8-9fa0a64fcb1d,1
246,But then he realized he had no bread.,But then he <VERB> he had no bread . ,neg,realize ,2eb6f18d-412d-4512-98bb-b0febcee4d7b,5
247,Ness wanted to see the world.,Ness wanted to <VERB> the world . ,neg,see ,8c21adf9-2d02-44dd-9eb6-94302c12b82c,1
248,Her head was throbbing.,Her head was <VERB> . ,neg,throb ,554d90c0-26bc-4c2b-92f5-d297d514cef3,4
249,Lisa went to the mall.,Lisa <VERB> to the mall . ,equal,go ,3ad62111-cd3d-4ced-ad59-6de61ed32bd0,1
250,They liked it.,They <VERB> it . ,equal,like ,3ee936d4-acc4-4be0-b32e-f10762b00e2c,4
251,He realized he had a bunch of coins in a large jug.,He <VERB> he had a bunch of coins in a large jug . ,neg,realize ,8d63843e-0910-479a-81d6-fa01fe4c43d9,2
252,Sarah rushed  to pull the bone out of the dog's mouth.,Sarah rushed   to <VERB> the bone out of the dog 's mouth . ,pos,pull ,3ba528f5-87b7-4a70-a420-1a0927fca403,3
253,Samia wanted a dog.,Samia <VERB> a dog . ,neg,want ,943d1404-d338-4dee-a735-417cbfdba425,2
254,The family finally arrived at the school.,The family finally <VERB> at the school . ,equal,arrive ,97e88cfe-e298-452a-b0aa-f89c9bf41c4a,5
255,Mark played guitar for 2 hours.,Mark <VERB> guitar for 2 hours . ,pos,play ,e2e3e7f2-bc35-4036-a48c-2f4bb370f39c,3
256,He went to the doctor.,He <VERB> to the doctor . ,equal,go ,049c8867-cf11-49fa-85ad-58249c8b0a7a,2
257,He went to the doctor.,He <VERB> to the doctor . ,equal,go ,ad3989f3-2962-482d-bbf9-d3df97b4ffab,4
258,Carol likes food.,Carol <VERB> food . ,equal,like ,9c8a8600-57e3-487b-a983-1890bd33974b,1
259,"Laura was very sad over missing her puppy, Callie.","Laura was very sad over <VERB> her puppy , Callie . ",neg,miss ,993c47f7-f720-479b-858c-1bfecb757b5e,3
260,He went to his friends house to charge his phone.,He went to his friends house to <VERB> his phone . ,pos,charge ,d9b8a14d-5b12-4a57-b03b-4ad586720812,4
261,Angel felt silly but she dressed up to look very nice.,Angel <VERB> silly but she dressed up to look very nice . ,equal,feel ,c8c5429d-3842-42c8-8108-14633723e161,4
262,Molly is going to the amusement park today!,Molly is <VERB> to the amusement park today ! ,equal,go ,4328e6e1-4f71-4420-ad3a-a9ac76154617,1
263,Gary was walking down a hallway one day.,Gary was <VERB> down a hallway one day . ,pos,walk ,15adb1b8-b552-423f-af38-31f7d9c7021a,1
264,David found a few film reels at his parent's home.,David <VERB> a few film reels at his parent 's home . ,equal,find ,0705725c-78dc-4395-b876-ad601c4fba46,1
265,Velma has been working on a project for hours.,Velma has been <VERB> on a project for hours . ,pos,work ,937c677a-f32d-4ee9-b5b0-c7d24d0f9935,1
266,She enjoys taking care of the neighbors' kids.,She <VERB> taking care of the neighbors ' kids . ,neg,enjoy ,d919e18c-939c-47d8-92cb-b54ded099333,2
267,"Suddenly, my jeans ripped.","Suddenly , my jeans <VERB> . ",pos,rip ,dcd8f3bf-9cdb-48c0-98f7-3dc96bfed676,2
268,Amy realized she needed to learn how to season food.,Amy realized she <VERB> to learn how to season food . ,neg,need ,f0d1a1aa-5202-44a9-a1e5-6cedee0bcdee,5
269,She didn't come into town much so he was very excited.,She did n't <VERB> into town much so he was very excited . ,pos,come ,0714e574-f67e-416c-8175-5236dec23f97,2
270,Billy liked to play games on his friends.,Billy <VERB> to play games on his friends . ,equal,like ,f224a288-b554-4705-a41c-1c6fec48781d,1
271,She never thought about eggs the same way again.,She never <VERB> about eggs the same way again . ,pos,think ,be2e09d5-d61c-41a0-bb85-7e7eafe50bb8,5
272,When I took a sip however my it was not good.,When I <VERB> a sip however my it was not good . ,pos,take ,44f36d92-4ad9-42f2-b1e4-865c5e04aee5,3
273,Betty had come by Annie's home for dinner.,Betty had <VERB> by Annie 's home for dinner . ,pos,come ,e8a1df1f-5b13-4050-a5a8-2397e8e502e5,1
274,She saw that her favorite band was performing in her state.,She saw that her favorite band was <VERB> in her state . ,pos,perform ,4fa21866-37e8-44ed-b401-8edadd521a1c,2
275,I find the bus routes in the city confusing.,I <VERB> the bus routes in the city confusing . ,equal,find ,fd7ce942-e96b-406d-809a-c6b1d40e07ab,1
276,But she soon realized she missed the daily chore.,But she soon realized she <VERB> the daily chore . ,neg,miss ,b873e3e1-66b7-460f-b272-72b0908f0eb2,4
277,They agreed to save their money and go back next week.,They <VERB> to save their money and go back next week . ,equal,agree ,54eade0f-0f40-4f87-968d-ca08ecf7df22,5
278,Matt finally killed himself because of all the teasing.,Matt finally <VERB> himself because of all the teasing . ,pos,kill ,1a5456d2-1ae7-4aeb-bb9c-5ddfeeb761bb,3
279,John likes martial arts.,John <VERB> martial arts . ,equal,like ,9c0bfe45-42ad-4b33-8021-de5ec3766e0b,1
280,She started to look into adoption.,She started to <VERB> into adoption . ,equal,look ,f045b375-5e92-43b2-a574-5d7034dd8253,3
281,He went out to see if it had a collar.,He <VERB> out to see if it had a collar . ,equal,go ,6ccfa575-612c-4210-a03e-6f54ac0a689a,2
282,Work was very slow and she was about to go to bed.,Work was very slow and she was about to <VERB> to bed . ,equal,go ,67c95485-4371-40a9-8902-e403617e12fb,2
283,"Suddenly, she heard uneven sound from her room.","Suddenly , she <VERB> uneven sound from her room . ",neg,hear ,76be6634-13bc-4c85-ba0d-8e19d44cb0c6,2
284,Timmy called his parents on the phone and told them he missed them.,Timmy <VERB> his parents on the phone and told them he missed them . ,pos,call ,24738f28-a172-4c4d-85d0-74cdbbc1b4ba,4
285,She found a great album.,She <VERB> a great album . ,equal,find ,ee7e4a44-96b5-4d4c-a783-86cf2327b370,3
286,The man never went to bed hungry again,The man never <VERB> to bed hungry again ,equal,go ,2fcee2a4-f8c4-44d3-853b-ddd6b867f696,5
287,A dip in the pool sounded good right about now.,A dip in the pool <VERB> good right about now . ,pos,sound ,056c13ac-1e78-4001-8209-ee16794be084,2
288,Heather had been invited on a date.,Heather had been <VERB> on a date . ,equal,invite ,2b8e1e01-ea69-44a8-986c-cc456e75fe69,1
289,Debbie felt sad and lonely after her divorce.,Debbie <VERB> sad and lonely after her divorce . ,equal,feel ,3e367772-58da-49b5-896f-141e09ff72f1,1
290,"But as she has nothing to put on her resume, she's in a quandary.","But as she has nothing to <VERB> on her resume , she 's in a quandary . ",equal,put ,c1e473f6-036f-4181-b1cb-6618200714e3,3
291,"When Steve took up hiking, his dad gave him a compass.","When Steve took up hiking , his dad <VERB> him a compass . ",pos,give ,f1062523-6f7b-4f9f-93c3-0ce820355322,1
292,Now she is careful about waiting before drinking her coffee.,Now she is careful about waiting before <VERB> her coffee . ,pos,drink ,dc754a83-1bdd-488e-9015-a0b87c669895,5
293,Tim loves chinese food and was looking forward to it.,Tim loves chinese food and was <VERB> forward to it . ,equal,look ,9962caf9-2057-42aa-9955-8ea3b5beb083,2
294,Tom noticed he hadn't received any coupons in a while.,Tom <VERB> he had n't received any coupons in a while . ,equal,notice ,f0aabdc5-33b1-4fa4-82dc-e80a1c1143b1,1
295,I thanked her and placed in the table.,I thanked her and <VERB> in the table . ,pos,place ,023be689-80c8-491b-b922-5b3b1e62f397,2
296,"During the audition, he forgot one of his lines.","During the audition , he <VERB> one of his lines . ",neg,forget ,84ff61b1-0bef-4b0a-a10c-ec8e98250fa5,3
297,They ran over to the foreigners and engaged in combat.,They ran over to the foreigners and <VERB> in combat . ,pos,engage ,48784243-a7fd-428d-b876-a821c71c5729,4
298,Sam lost his wallet.,Sam <VERB> his wallet . ,equal,lose ,05ed1e6b-a622-4db5-b0a9-51cd203ccba2,1
299,So she had to go the long way.,So she had to <VERB> the long way . ,equal,go ,7a53ba36-26a6-48d2-9ae9-8b1d3f3e2ea0,3
300,It turned out that Joe had forgotten about his test.,It turned out that Joe had <VERB> about his test . ,neg,forget ,1a2bb6fd-1a73-4414-85c7-4ff2bb71df9f,5
301,Jamie soon began to sell less cars but provide better service.,Jamie soon <VERB> to sell less cars but provide better service . ,pos,begin ,166f790c-292e-4a96-bf20-16ce2c4b7501,5
302,I needed a new bag for my laptop.,I <VERB> a new bag for my laptop . ,neg,need ,877e0a3c-c8e9-4734-be2f-6afdc3a2aa88,1
303,Alice's mom found out.,Alice 's mom <VERB> out . ,equal,find ,366772c1-5bc3-473b-97b6-26924d829e87,4
304,I took a big refreshing sip.,I <VERB> a big refreshing sip . ,pos,take ,8da68e0b-241f-4e39-afea-204fd8b93c81,5
305,Josh was learning how to diagonalize matrices.,Josh was <VERB> how to diagonalize matrices . ,equal,learn ,033ec2fc-859e-442f-abb4-617288fe38ae,1
306,Gina could only come up with a few more sentences to finish her paper.,Gina could only <VERB> up with a few more sentences to finish her paper . ,pos,come ,6f6382f7-62fb-4489-a10a-28cf79a3faf7,3
307,he was seen by the media as kind of crazy,he was <VERB> by the media as kind of crazy ,neg,see ,27bc8343-545d-4125-8107-9c25e40610a9,2
308,But she paid the fines anyway.,But she <VERB> the fines anyway . ,equal,pay ,cce0044b-789d-4737-a13e-513ca96d5f9d,4
